,Techniques,Rule
226,T1048.003,Resources/sigma-master/rules/network/net_high_null_records_requests_rate.yml
227,command_and_conTrol,Resources/sigma-master/rules/network/net_high_null_records_requests_rate.yml
228,T1071,Resources/sigma-master/rules/network/net_high_null_records_requests_rate.yml
229,T1071.004,Resources/sigma-master/rules/network/net_high_null_records_requests_rate.yml
230,reconnaissance,Resources/sigma-master/rules/network/net_susp_ipify.yml
231,T1590,Resources/sigma-master/rules/network/net_susp_ipify.yml
232,discovery,Resources/sigma-master/rules/network/net_susp_network_scan_by_port.yml
233,T1046,Resources/sigma-master/rules/network/net_susp_network_scan_by_port.yml
234,command_and_conTrol,Resources/sigma-master/rules/network/net_susp_dns_txt_exec_strings.yml
235,T1071,Resources/sigma-master/rules/network/net_susp_dns_txt_exec_strings.yml
236,T1071.004,Resources/sigma-master/rules/network/net_susp_dns_txt_exec_strings.yml
237,credenTial_access,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_net_sniff.yml
238,discovery,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_net_sniff.yml
239,T1040,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_net_sniff.yml
240,impacT,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_dos.yml
241,T1495,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_dos.yml
242,T1529,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_dos.yml
243,T1492,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_dos.yml
244,T1565.001,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_dos.yml
245,credenTial_access,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_input_capture.yml
246,T1139,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_input_capture.yml
247,T1552.003,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_input_capture.yml
248,persisTence,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_modify_config.yml
249,impacT,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_modify_config.yml
250,T1490,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_modify_config.yml
251,T1505,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_modify_config.yml
252,T1493,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_modify_config.yml
253,T1565.002,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_modify_config.yml
254,T1168,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_modify_config.yml
255,T1053,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_modify_config.yml
256,defense_evasion,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_disable_logging.yml
257,T1089,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_disable_logging.yml
258,T1562.001,Resources/sigma-master/rules/network/cisco/aaa/cisco_cli_disable_logging.yml
